source,id,player_id,stat_type,line,over_odds,under_odds,sport_id,scraped_at
Underdog,3a8922c2-cc66-4401-b0b3-1777e194ffe5,,,,,,,2026-09-03T19:59:05.656227+00:00
Underdog,505cc53e-9e90-4ebf-a8d3-029965bcb159,,,,,,,2026-09-03T19:59:05.656228+00:00
Underdog,fd18a00c-89c6-40bd-8b2a-062923a90982,,,,,,,2026-09-03T19:59:05.656230+00:00
Underdog,51a5e5ab-d868-4a9e-9dab-932ea863a3b9,,,,,,,2026-09-03T19:59:05.656232+00:00
Underdog,ae553d49-913b-4c93-af76-fd6500f4df43,,,,,,,2026-09-03T19:59:05.656233+00:00
Underdog,86178239-54b9-4b60-8e0a-cfa8ca57e8c9,,,,,,,2026-09-03T19:59:05.656235+00:00
Underdog,d2fad824-3de7-4bae-97de-b326afaeb6e1,,,,,,,2026-09-03T19:59:05.656237+00:00
Underdog,82f09c0b-1063-472e-a9bf-a464618ed5cc,,,,,,,2026-09-03T19:59:05.656239+00:00
Underdog,7814904f-1b5e-4ce1-849e-08ef4e689b3c,,,,,,,2026-09-03T19:59:05.656241+00:00
Underdog,f3d08533-ee55-4bf4-bda0-75bd8f8889d7,,,,,,,2026-09-03T19:59:05.656242+00:00
Underdog,305d7f4f-d466-4062-8108-983025763fa5,,,,,,,2026-09-03T19:59:05.656244+00:00
Underdog,fa9158fa-9293-49dd-92f5-b3b10060faa4,,,,,,,2026-09-03T19:59:05.656246+00:00
Underdog,f35f4035-f0df-4233-981f-b7d5fd256b32,,,,,,,2026-09-03T19:59:05.656247+00:00
Underdog,33101740-2503-431e-9a9f-18838f279888,,,,,,,2026-09-03T19:59:05.656249+00:00
Underdog,3e4c4687-ec56-4c03-a287-a3b2991d2de6,,,,,,,2026-09-03T19:59:05.656251+00:00
Underdog,4045d17f-9999-484a-9c7f-a418cbc0f1c7,,,,,,,2026-09-03T19:59:05.656254+00:00
Underdog,727da3df-e594-4475-93bb-2f7ed9bb0589,,,,,,,2026-09-03T19:59:05.656255+00:00
Underdog,ccc5de75-97af-436a-b2a3-3d3712384d6e,,,,,,,2026-09-03T19:59:05.656258+00:00
Underdog,75a0826f-8e07-4031-b208-3f776ca19eaa,,,,,,,2026-09-03T19:59:05.656260+00:00
Underdog,e59256e6-4e01-40fd-aac9-171100e17684,,,,,,,2026-09-03T19:59:05.656262+00:00
Underdog,e1c9202f-6214-489a-bed9-a8432d0d3150,,,,,,,2026-09-03T19:59:05.656264+00:00
Underdog,8f3f76f7-2eb9-4f29-ba42-b62e5d1cd050,,,,,,,2026-09-03T19:59:05.656265+00:00
Underdog,7e7b1a70-372d-4d43-9597-4c9355ef6fa9,,,,,,,2026-09-03T19:59:05.656267+00:00
Underdog,4bddcaf8-ef74-49f5-aff7-7a4a33f0ae55,,,,,,,2026-09-03T19:59:05.656269+00:00
Underdog,a304a7e6-3f78-4425-a482-7ecf73c85729,,,,,,,2026-09-03T19:59:05.656270+00:00
Underdog,95f438dc-174d-4c6b-ac74-580447365118,,,,,,,2026-09-03T19:59:05.656272+00:00
Underdog,fa971e87-17e3-4779-a80b-c2f138dfc9aa,,,,,,,2026-09-03T19:59:05.656274+00:00
Underdog,711b1001-fb04-420b-a046-e2c8d88984d0,,,,,,,2026-09-03T19:59:05.656275+00:00
Underdog,f34512ef-122c-4add-b6f2-de71730c6315,,,,,,,2026-09-03T19:59:05.656277+00:00
Underdog,0d700bfe-9b76-4901-b280-6b3a83288a43,,,,,,,2026-09-03T19:59:05.656278+00:00
Underdog,9f46fb76-4fe9-4223-9997-9e62dcc259aa,,,,,,,2026-09-03T19:59:05.656280+00:00
Underdog,85fd4819-755f-4353-b4ed-343d961ac1b1,,,,,,,2026-09-03T19:59:05.656282+00:00
Underdog,318736b1-b4c0-447f-a58c-f0cf6db1bf4a,,,,,,,2026-09-03T19:59:05.656284+00:00
Underdog,0baf4f15-986f-47ec-8950-e013ccec626a,,,,,,,2026-09-03T19:59:05.656286+00:00
Underdog,6742e2b9-b903-4b27-88d8-ff88e91d0028,,,,,,,2026-09-03T19:59:05.656288+00:00
Underdog,5fc8bb36-85a0-4414-bb62-438a1fb7f7d4,,,,,,,2026-09-03T19:59:05.656290+00:00
Underdog,7eec998e-403f-4692-9879-cb778aec70e7,,,,,,,2026-09-03T19:59:05.656292+00:00
Underdog,a9c15571-6ad5-4ab9-a8a9-9ac725c0be40,,,,,,,2026-09-03T19:59:05.656294+00:00
Underdog,b62c53d1-8777-4770-b5d4-5d7e7fd00e41,,,,,,,2026-09-03T19:59:05.656295+00:00
Underdog,217683fc-c3c4-41fa-8114-d0452dc29f87,,,,,,,2026-09-03T19:59:05.656297+00:00
Underdog,b1fd6bf6-98b5-4945-bf01-df549eac044a,,,,,,,2026-09-03T19:59:05.656299+00:00
Underdog,a0086600-015a-4259-a09b-6bea05e47e1d,,,,,,,2026-09-03T19:59:05.656301+00:00
Underdog,c2215522-aa24-4591-bf68-1d9a89496bab,,,,,,,2026-09-03T19:59:05.656302+00:00
Underdog,e3700cb6-1165-4e1b-a4ef-1a222448b2c0,,,,,,,2026-09-03T19:59:05.656304+00:00
Underdog,7660be21-1fcd-4e33-8726-b96639a1111f,,,,,,,2026-09-03T19:59:05.656306+00:00
Underdog,55a0e79f-c92c-4a9f-9b4e-4a9a5f898f21,,,,,,,2026-09-03T19:59:05.656307+00:00
Underdog,3201b5be-f6d6-4273-a84f-011a45e88ab7,,,,,,,2026-09-03T19:59:05.656309+00:00
Underdog,1cc26928-60ce-4a7a-be48-0d88094763f5,,,,,,,2026-09-03T19:59:05.656310+00:00
Underdog,27430f02-31f9-4d5b-a0a6-ab11727241b8,,,,,,,2026-09-03T19:59:05.656312+00:00
Underdog,b1b3d50e-5adf-4df7-ae3d-963235ae6cec,,,,,,,2026-09-03T19:59:05.656315+00:00
Underdog,f55c8dcc-f1ef-40f2-9731-eb700e9b52b8,,,,,,,2026-09-03T19:59:05.656317+00:00
Underdog,a6e9eea8-db40-4873-bcf5-b7167e6312e2,,,,,,,2026-09-03T19:59:05.656318+00:00
Underdog,120f0c21-935b-47a2-a55d-1e60274533b5,,,,,,,2026-09-03T19:59:05.656320+00:00
Underdog,073b4dbc-b9f2-45c0-9d57-29b951ecb5df,,,,,,,2026-09-03T19:59:05.656322+00:00
Underdog,691468d3-df4e-43b2-bbe4-4e0647f91792,,,,,,,2026-09-03T19:59:05.656325+00:00
Underdog,6b946fe4-df7b-4d28-867a-53ca1f849205,,,,,,,2026-09-03T19:59:05.656326+00:00
Underdog,2c532494-7ffa-486a-8b31-f73949e9b834,,,,,,,2026-09-03T19:59:05.656328+00:00
Underdog,c9ff1277-a51c-4403-a75f-913f218a1636,,,,,,,2026-09-03T19:59:05.656330+00:00
Underdog,82ff42a2-4d39-4e4d-936c-2a7a1388ac4e,,,,,,,2026-09-03T19:59:05.656332+00:00
Underdog,ad171d75-e00c-4da9-8e5d-25a71f5c1f27,,,,,,,2026-09-03T19:59:05.656333+00:00
Underdog,63ba8f81-798a-4442-b289-1cf1370b56a1,,,,,,,2026-09-03T19:59:05.656335+00:00
Underdog,bd9f1d87-8a28-4e4d-9c0e-836d15051591,,,,,,,2026-09-03T19:59:05.656337+00:00
Underdog,8df04f9a-6a3c-496b-ab88-a74676b84010,,,,,,,2026-09-03T19:59:05.656338+00:00
Underdog,c1d8d529-5666-41f7-825b-cfaada3a2a57,,,,,,,2026-09-03T19:59:05.656340+00:00
Underdog,936b1c84-b554-41f7-a77f-5edb278ba204,,,,,,,2026-09-03T19:59:05.656342+00:00
Underdog,0b58babf-96bb-40ef-8c67-13fba80b29d7,,,,,,,2026-09-03T19:59:05.656343+00:00
Underdog,7d21da10-d6f6-4fcd-8291-4d5c644a8ae4,,,,,,,2026-09-03T19:59:05.656345+00:00
